Name;Kv (rpm/v);Pole (number);Io (A);r (omn);weight_g;Imax (A);No s;Voltage;Inom_max (A);Eta_max (%);Kt (N.m/A);Tnom_Nm;Diameter_mm
AXI 5325/16 GOLD LINE;350;14;2.1;0.026;575;85;6;22.2;70;90;0.027283705;2.319114885;5325
AXI 2203/40VPP GOLD LINE;2000;14;0.5;0.245;17.5;9;2;7.4;7.5;75;0.004774648;0.042971835;2203
AXI 2203/46 GOLD LINE;1720;14;0.5;0.285;18.5;8.5;2;7.4;7;75;0.005551917;0.047191291;2203
AXI 2203/52 GOLD LINE;1525;14;0.4;0.39;18.5;7;2;7.4;5.5;74;0.006261834;0.043832837;2203
AXI 2203/RACE GOLD LINE;2300;14;0.55;0.22;18.5;9;3;11.1;7.5;74;0.004151868;0.037366813;2203
AXI 2204/54 GOLD LINE;1400;14;0.35;0.32;25.9;7.5;3;11.1;6;77;0.006820926;0.051156946;2204
AXI 2208/20 GOLD LINE;1820;14;0.8;0.089;45;16;3;11.1;12;82;0.005246866;0.08394986;2208
AXI 2208/26 GOLD LINE;1420;14;0.6;0.155;45;11;3;11.1;9;82;0.006724857;0.073973424;2208
AXI 2208/34 GOLD LINE;1100;14;0.35;0.26;45;8;3;11.1;7;81;0.008681179;0.06944943;2208
AXI 2212/12 GOLD LINE;1950;14;1.2;0.045;57;28;3;11.1;22;82;0.004897075;0.137118105;2212
AXI 2212/20 GOLD LINE;1150;14;0.7;0.135;57;16;3;11.1;12;82;0.008303736;0.132859779;2212
AXI 2212/26 GOLD LINE;920;14;0.45;0.21;57;12;3;11.1;10;80;0.01037967;0.124556042;2212
AXI 2212/34 GOLD LINE;710;14;0.4;0.345;57;10;3;11.1;8;78;0.013449714;0.134497135;2212
AXI 2217/12 GOLD LINE;1380;14;0.9;0.061;69.5;30;3;11.1;28;85;0.00691978;0.207593404;2217
AXI 2217/16 GOLD LINE;1050;14;0.7;0.12;69.5;22;3;11.1;18;83;0.009094568;0.2000805;2217
AXI 2217/20 GOLD LINE;840;14;0.55;0.185;69.5;18;4;14.8;14;82;0.01136821;0.204627784;2217
AXI 2217/5H GOLD LINE;3000;14;1.9;0.039;68.5;34;3;11.1;27;85;0.003183099;0.108225361;2217
AXI 2808/16 GOLD LINE;1820;14;2;0.075;76;25;3;11.1;15;80;0.005246866;0.131171656;2808
AXI 2808/20 GOLD LINE;1490;14;1.3;0.105;76;22;3;11.1;15;80;0.006408924;0.140996325;2808
AXI 2808/24 GOLD LINE;1190;14;1;0.115;76;22;3;11.1;15;82;0.008024619;0.176541618;2808
AXI 2814/10 GOLD LINE;1640;14;2.3;0.037;106;40;3;11.1;30;81;0.005822742;0.232909673;2814
AXI 2814/12 GOLD LINE;1390;14;1.8;0.053;106;35;3;11.1;25;81;0.006869998;0.240449914;2814
AXI 2814/16 GOLD LINE;1035;14;1;0.085;106;30;3;11.1;20;82;0.009226374;0.276791205;2814
AXI 2814/20 GOLD LINE;840;14;0.7;0.145;106;25;4;14.8;17;83;0.01136821;0.284205256;2814
AXI 2814/6D GOLD LINE;2850;14;4.5;0.022;106;55;3;11.1;45;80;0.00335063;0.184284671;2814
AXI 2820/10 GOLD LINE;1200;14;2.3;0.039;151;42;4;14.8;30;83;0.007957747;0.33422538;2820
AXI 2820/12 GOLD LINE;990;14;1.7;0.059;151;37;4;14.8;25;83;0.009645754;0.356892903;2820
AXI 2820/14 GOLD LINE;860;14;1.7;0.078;151;36;4;14.8;30;86;0.011103833;0.399737997;2820
AXI 2820/8 GOLD LINE;1500;14;3.3;0.026;151;55;3;11.1;37;82;0.006366198;0.350140875;2820
AXI 2826/10 GOLD LINE;920;14;1.7;0.042;181;42;5;18.5;30;84;0.01037967;0.435946148;2826
AXI 2826/12 GOLD LINE;760;14;1.3;0.062;181;37;5;18.5;25;84;0.012564864;0.464899965;2826
AXI 2826/6 GOLD LINE;1500;14;3.5;0.025;181;65;3;11.1;45;82;0.006366198;0.413802852;2826
AXI 2826/8 GOLD LINE;1130;14;2.9;0.03;181;55;3;11.1;37;83;0.008450705;0.464788772;2826
AXI 4120/14 GOLD LINE;660;14;2;0.041;320;55;5;18.5;40;85;0.014468631;0.795774715;4120
AXI 4120/18 GOLD LINE;515;14;1.5;0.07;320;55;7;25.9;40;86;0.018542323;1.019827791;4120
AXI 4120/20 GOLD LINE;465;14;1.5;0.082;320;52;6;22.2;37;87;0.020536122;1.067878328;4120
AXI 4130/16 GOLD LINE;385;14;1.3;0.063;409;60;8;29.6;40;88;0.024803368;1.488202065;4130
AXI 4130/20 GOLD LINE;305;14;1.2;0.099;409;55;8;29.6;40;88;0.031309169;1.722004302;4130
AXI 5320/18 GOLD LINE;370;14;1.4;0.023;495;78;6;22.2;55;93;0.02580891;2.013094956;5320
AXI 5320/24 GOLD LINE;206;14;1.1;0.084;495;50;10;37;32;93;0.046355809;2.317790433;5320
AXI 5320/28 GOLD LINE;249;14;1.4;0.057;495;65;10;37;36;92;0.038350589;2.492788265;5320
AXI 5325/16 GOLD LINE;350;14;2.1;0.026;575;85;6;22.2;70;90;0.027283705;2.319114885;5325
AXI 5325/18 GOLD LINE;308;14;1.7;0.032;575;80;8;29.6;65;91;0.03100421;2.480336775;5325
AXI 5325/20 GOLD LINE;280;14;2;0.037;575;78;8;29.6;65;92;0.034104631;2.660161192;5325
AXI 5325/24 GOLD LINE;232;14;1.7;0.045;575;75;10;37;55;91;0.041160761;3.087057086;5325
AXI 5330/18 GOLD LINE;259;14;2;0.032;652;80;10;37;60;90;0.036869871;2.949589679;5330
AXI 5330/24 GOLD LINE;197;14;1.5;0.057;652;65;10;37;38;91;0.048473587;3.150783137;5330
AXI 5345/14HD GOLD LINE;225;14;2.6;0.027;995;110;10;37;84;93;0.042441318;4.668544997;5345
AXI 5345/16HD GOLD LINE;195;14;2.1;0.034;995;90;12;44.4;75;94;0.048970752;4.407367655;5345
AXI 5345/18HD GOLD LINE;171;14;1.6;0.042;995;75;12;44.4;63;94;0.05584384;4.188287976;5345
AXI 5360/20 GOLD LINE;120;14;1.8;0.068;1350;65;10;37;59;94;0.079577472;5.17253565;5360
AXI 5330/F3A GOLD LINE;235;14;1.8;0.045;652;75;10;37;57;91;0.040635305;3.047647846;5330
